mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ADASYN__sampling_strategy,param_tree__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3505987167358398,0.12440480239910655,0.021201658248901366,0.0017209676219684415,0.5,1,"{'ADASYN__sampling_strategy': 0.5, 'tree__max_features': 1}",0.8631092502968205,0.8505690705583886,0.8491306583244626,0.8517730670500906,0.8593339271360604,0.8547831946731644,0.005455332175631349,14
2.7394001483917236,0.2863268376566803,0.022609519958496093,0.00773190484735929,0.5,3,"{'ADASYN__sampling_strategy': 0.5, 'tree__max_features': 3}",0.8627211200351274,0.8520805371448008,0.8527965319131419,0.8538284451889777,0.859792957564025,0.8562439183692145,0.004233262285967215,13
3.27760009765625,0.1851164885337957,0.02380094528198242,0.003814896142066991,0.5,5,"{'ADASYN__sampling_strategy': 0.5, 'tree__max_features': 5}",0.8578166042002257,0.8530081131050347,0.8504773085019731,0.8516342046463052,0.8603435124638227,0.8546559485834722,0.0037853786583985486,16
3.3467993259429933,0.1806905529488468,0.022608852386474608,0.0029309601110558566,0.5,7,"{'ADASYN__sampling_strategy': 0.5, 'tree__max_features': 7}",0.8613936067903414,0.851082405933106,0.8477887017096101,0.8504169626963687,0.8564924443028329,0.8534348242864518,0.004882854082349218,18
3.3672059535980225,0.08573033331876335,0.019999074935913085,0.0016809235374537132,0.5,9,"{'ADASYN__sampling_strategy': 0.5, 'tree__max_features': 9}",0.8609992693654791,0.8550518905055522,0.8516084571025806,0.8502835314150877,0.8556651703588913,0.8547216637495181,0.00373621896966249,15
3.530404233932495,0.08519167182487264,0.02059779167175293,0.002333497980149251,0.5,11,"{'ADASYN__sampling_strategy': 0.5, 'tree__max_features': 11}",0.8605865973368021,0.8535680692677085,0.8489391609680111,0.852502513738058,0.8566400233229833,0.8544472729267125,0.003934306628571771,17
2.746999979019165,0.10748470448382719,0.021599578857421874,0.00205896823585452,0.75,1,"{'ADASYN__sampling_strategy': 0.75, 'tree__max_features': 1}",0.8671676247245423,0.8590760920037498,0.8549247273241248,0.85760589146713,0.8613329825230501,0.8600214636085195,0.004135048670895076,4
2.994599437713623,0.04662014831473394,0.02140216827392578,0.0014967721021480465,0.75,3,"{'ADASYN__sampling_strategy': 0.75, 'tree__max_features': 3}",0.8646020953937252,0.8584294218461191,0.8584893540611789,0.8585076589555456,0.8646313501555984,0.8609319760824334,0.0030087086222649233,3
3.374399423599243,0.26982388665161744,0.024202346801757812,0.003654970457072728,0.75,5,"{'ADASYN__sampling_strategy': 0.75, 'tree__max_features': 5}",0.8644231010762154,0.8570438012083045,0.8504361392523718,0.8557402673614213,0.8615992416275559,0.8578485101051738,0.0048441453100469,12
3.6968010902404784,0.16367076850455065,0.02200007438659668,0.001414078822651143,0.75,7,"{'ADASYN__sampling_strategy': 0.75, 'tree__max_features': 7}",0.8635545602302764,0.8596077619822822,0.8492513499356714,0.8544972778677601,0.8628217805982067,0.8579465461228393,0.005394094173807596,10
3.7609997272491453,0.09001554083748164,0.02300119400024414,0.00509954802901013,0.75,9,"{'ADASYN__sampling_strategy': 0.75, 'tree__max_features': 9}",0.8625533254369973,0.8557862023794061,0.8527866754315596,0.8578042280148832,0.8603152169860837,0.8578491296497859,0.0034087291633685514,11
4.44539885520935,0.6442548786262915,0.022009658813476562,0.005508059759800883,0.75,11,"{'ADASYN__sampling_strategy': 0.75, 'tree__max_features': 11}",0.8634603909330976,0.8596898038388152,0.8539425658124652,0.8564609974330236,0.8579969993383418,0.8583101514711486,0.0031944215930887017,8
3.3085986137390138,0.3082267259338528,0.025402641296386717,0.003876687564239599,1,1,"{'ADASYN__sampling_strategy': 1, 'tree__max_features': 1}",0.8665871580977351,0.8629259377907674,0.8571791795706115,0.8618445138018903,0.863886884067125,0.8624847346656258,0.0030838079959255946,1
3.5245989322662354,0.2696724138257199,0.02380237579345703,0.0034887978836701315,1,3,"{'ADASYN__sampling_strategy': 1, 'tree__max_features': 3}",0.8630430802980908,0.8589036252671959,0.857017721015172,0.8583017456566442,0.8602944982594929,0.8595121340993191,0.0020560688000668707,6
3.953792858123779,0.1367717103793912,0.023001480102539062,0.0016746538266496724,1,5,"{'ADASYN__sampling_strategy': 1, 'tree__max_features': 5}",0.8649641153315955,0.8602967012072321,0.8578741620984892,0.8595168419779371,0.863302133210818,0.8611907907652142,0.0025805918545529554,2
4.2803997039794925,0.5005213580730898,0.021801519393920898,0.0016000333789297474,1,7,"{'ADASYN__sampling_strategy': 1, 'tree__max_features': 7}",0.8620645318292635,0.8585456366321763,0.8581488696157795,0.8580067217181336,0.8620914622486028,0.8597714444087912,0.00189157778238275,5
4.648328065872192,0.28760575522876464,0.025001001358032227,0.0025308262932035763,1,9,"{'ADASYN__sampling_strategy': 1, 'tree__max_features': 9}",0.8635343701839296,0.8581612507876409,0.8555872572187665,0.8552231708582864,0.8603474014157395,0.8585706900928726,0.003100619952720745,7
4.701999521255493,0.2252994335797911,0.023201513290405273,0.00426322376022191,1,11,"{'ADASYN__sampling_strategy': 1, 'tree__max_features': 11}",0.8622059292178779,0.8590586851212012,0.855209157221207,0.8555399192868145,0.8595146963492932,0.8583056774392788,0.0026259690344374456,9
