mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVR__proportion,param_tree__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.94303297996521,0.018013571244203566,0.019515419006347658,0.0012954447779950692,0.5,1,"{'SVR__proportion': 0.5, 'tree__max_features': 1}",0.8478934665404956,0.8406092636910292,0.8351959401487619,0.8372813570886608,0.8440419647414209,0.8410043984420736,0.004570370322489688,11
2.1379658222198485,0.03959238973960665,0.018503665924072266,0.0003117455074871587,0.5,3,"{'SVR__proportion': 0.5, 'tree__max_features': 3}",0.8466654020347916,0.8434255571977753,0.8354878126952019,0.837922296595075,0.8432673257501453,0.8413536788545978,0.004058371532121926,4
2.34780011177063,0.04217473253192259,0.018190622329711914,0.00017178100814873416,0.5,5,"{'SVR__proportion': 0.5, 'tree__max_features': 5}",0.8447679810470047,0.8434171741742877,0.8351052873385649,0.8373695960666336,0.844072003542433,0.8409464084337849,0.003934227439398709,12
2.4952364444732664,0.06149514421040611,0.017969131469726562,0.00021105407313446175,0.5,7,"{'SVR__proportion': 0.5, 'tree__max_features': 7}",0.8480435673703843,0.8378026013468233,0.8319653609711758,0.8347100223118559,0.8452935367496569,0.8395630177499791,0.006150342901550521,17
2.7031219959259034,0.033255836938981785,0.01804385185241699,0.00017594177190156203,0.5,9,"{'SVR__proportion': 0.5, 'tree__max_features': 9}",0.8469649628589958,0.8426446580680591,0.8320837728519508,0.8379007062068476,0.8417323296082537,0.8402652859188213,0.005004551795947934,15
2.853279972076416,0.04473804753636446,0.017964839935302734,0.00011034232329438117,0.5,11,"{'SVR__proportion': 0.5, 'tree__max_features': 11}",0.848431377214291,0.8424206115194323,0.8349491258038396,0.8374094913492276,0.842190086069211,0.8410801383912003,0.004650430718603744,9
2.8063838958740233,0.03898923733850209,0.018988323211669923,0.0003192301164474682,0.75,1,"{'SVR__proportion': 0.75, 'tree__max_features': 1}",0.8493828876380292,0.8431067340484905,0.8328755768723761,0.8375473479895861,0.8437273619415363,0.8413279816980037,0.005648696022155735,5
3.0743261337280274,0.09763254457885748,0.018444347381591796,0.00012568159357796292,0.75,3,"{'SVR__proportion': 0.75, 'tree__max_features': 3}",0.8450557348483501,0.8412773720340593,0.8317046670909647,0.8363883062166102,0.8420598061800005,0.8392971772739969,0.004707908597353082,18
3.3123661994934084,0.05894508075463683,0.01854052543640137,0.00040389730315041684,0.75,5,"{'SVR__proportion': 0.75, 'tree__max_features': 5}",0.8510279758930474,0.8387572153521461,0.8355297195046494,0.8394906170318391,0.8415372785543611,0.8412685612672085,0.005248249834074753,6
3.4955304145812987,0.08378414261431633,0.01898794174194336,0.0007043901123503967,0.75,7,"{'SVR__proportion': 0.75, 'tree__max_features': 7}",0.848263262198374,0.8391472010563713,0.8381409495640485,0.8363883062166102,0.8420446526777042,0.8407968743426217,0.0041596809898961865,14
3.681538391113281,0.07057799538294192,0.018322849273681642,0.00029315693313738977,0.75,9,"{'SVR__proportion': 0.75, 'tree__max_features': 9}",0.8498427877581419,0.8454482168306804,0.8341907801800772,0.8362277193228074,0.8438705156026093,0.8419160039388632,0.005850918038581419,1
3.859416055679321,0.01987416452734044,0.018407344818115234,0.0003350641099472572,0.75,11,"{'SVR__proportion': 0.75, 'tree__max_features': 11}",0.8476395987829817,0.8429302360090859,0.8336629555337237,0.8396457728031377,0.8444779967123605,0.8416713119682578,0.004760659580103147,2
3.673149919509888,0.054017961147398916,0.019068193435668946,0.0005026597036457361,1,1,"{'SVR__proportion': 1, 'tree__max_features': 1}",0.8471750265244452,0.8424765430521424,0.8355717604158872,0.836699623522634,0.8442098601827914,0.8412265627395801,0.004434336563913092,7
3.840233659744263,0.06723643680528552,0.01838393211364746,0.0003197944724876974,1,3,"{'SVR__proportion': 1, 'tree__max_features': 3}",0.8496554104171444,0.8414743805375972,0.8345484296546262,0.8383487402880131,0.8442120058114352,0.8416477933417632,0.005138324719787664,3
4.144893741607666,0.06571781792845481,0.01872115135192871,0.0007638466537521248,1,5,"{'SVR__proportion': 1, 'tree__max_features': 5}",0.8497781527841575,0.8415533188125457,0.8340474924172142,0.8386600575940367,0.8415427096768655,0.841116346256964,0.005126434856663323,8
4.445971345901489,0.08396939920736764,0.018507957458496094,0.00026877682612696233,1,7,"{'SVR__proportion': 1, 'tree__max_features': 7}",0.8473378620984588,0.8406170394110375,0.8316529037999351,0.838761304445662,0.8423559699837281,0.8401450159477643,0.0051162248953490206,16
4.604918622970581,0.06214512763825343,0.01917433738708496,0.0011386822515890994,1,9,"{'SVR__proportion': 1, 'tree__max_features': 9}",0.8460342833171774,0.8417127303871881,0.8334776268596231,0.8376022626726861,0.8453926379726384,0.8408439082418626,0.004757229338696862,13
4.848388576507569,0.04857614710721046,0.01826963424682617,0.00030067033463624635,1,11,"{'SVR__proportion': 1, 'tree__max_features': 11}",0.8472269267543047,0.8426987341582372,0.8319975454008315,0.8381203649392478,0.8450866176873288,0.8410260377879899,0.005434958246894129,10
