mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LGB__n_estimators,param_SVR__proportion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.078485345840454,0.08926606640031547,0.18071408271789552,0.0030169159851422766,100,0.5,"{'LGB__n_estimators': 100, 'SVR__proportion': 0.5}",0.6288630397345402,0.6265532671358631,0.6188939767108103,0.6260519950189231,0.626695080153981,0.6254114717508236,0.0033986079630856643,15
5.5051000118255615,0.4872888548279668,0.19175500869750978,0.01466267038761741,100,0.75,"{'LGB__n_estimators': 100, 'SVR__proportion': 0.75}",0.7111442185480006,0.7072623756917774,0.699230336185142,0.709068378771043,0.6948861757414688,0.7043182969874863,0.006207678114135721,14
6.277407217025757,0.08982096055175236,0.1894068241119385,0.0038226586513431084,100,1,"{'LGB__n_estimators': 100, 'SVR__proportion': 1}",0.7672385011389473,0.7613591812523762,0.7463319807826772,0.7550175525833235,0.7632581075930848,0.7586410646700817,0.00731114960774327,12
5.940517711639404,0.05204774595584926,0.3541290760040283,0.008841344782933342,200,0.5,"{'LGB__n_estimators': 200, 'SVR__proportion': 0.5}",0.7243260758878529,0.7189905534204595,0.715698974738173,0.7205118879896023,0.7246052110346463,0.7208265406141467,0.00335520146461098,13
7.252712965011597,0.04354263155334345,0.3596209526062012,0.008720223607279613,200,0.75,"{'LGB__n_estimators': 200, 'SVR__proportion': 0.75}",0.7783889283404324,0.7767481918060513,0.7740425735635486,0.7843276444671881,0.7769413849121003,0.7780897446178642,0.0034204968333164743,10
8.500112342834473,0.05963156690832219,0.3552730560302734,0.00848683442204297,200,1,"{'LGB__n_estimators': 200, 'SVR__proportion': 1}",0.814108723164852,0.806745582040437,0.7983261280441442,0.8041935507230635,0.8072323643406176,0.8061212696626228,0.005097137313059326,7
7.7601524829864506,0.07119055640863878,0.5373758792877197,0.010798746396011433,300,0.5,"{'LGB__n_estimators': 300, 'SVR__proportion': 0.5}",0.7718427147177895,0.7705534392374724,0.763745902855054,0.7730022118749281,0.7691319671579352,0.7696552471686359,0.0032245343292435,11
9.307967615127563,0.1065218434226488,0.5374156475067139,0.010565746865205368,300,0.75,"{'LGB__n_estimators': 300, 'SVR__proportion': 0.75}",0.8099987353929635,0.8064627537311143,0.8029651112736425,0.8064628212173707,0.8045551562004242,0.8060889155631031,0.0023527355370964683,8
10.812201166152954,0.07614096121279412,0.5320365905761719,0.010085401199742935,300,1,"{'LGB__n_estimators': 300, 'SVR__proportion': 1}",0.8277647839257812,0.8227580361879998,0.8186261217950007,0.8180034871829532,0.8243922976222948,0.822308945342806,0.0036444031939861206,4
9.629405069351197,0.053326261187270026,0.7225692272186279,0.004892910621644324,400,0.5,"{'LGB__n_estimators': 400, 'SVR__proportion': 0.5}",0.8117839728975436,0.7989255773133059,0.7954442805720567,0.7966151903534682,0.796737021829894,0.7999012085932538,0.006046918968160102,9
11.351524591445923,0.06552001996782399,0.7235390663146972,0.008347695976560283,400,0.75,"{'LGB__n_estimators': 400, 'SVR__proportion': 0.75}",0.8245081395096956,0.8194118946131592,0.8140979066442342,0.8180835459517218,0.8215187644612019,0.8195240502360026,0.0034742106005137253,5
13.214232587814331,0.15674904738261586,0.7378621578216553,0.01721639580206195,400,1,"{'LGB__n_estimators': 400, 'SVR__proportion': 1}",0.8376524334527465,0.8299198170882398,0.8208732654939196,0.8237062999143626,0.828868280125766,0.8282040192150069,0.005772818471663519,2
11.453865337371827,0.07874166266323558,0.9000162601470947,0.009127708419802748,500,0.5,"{'LGB__n_estimators': 500, 'SVR__proportion': 0.5}",0.8216256424721258,0.8171285192239979,0.8030104376787409,0.8104850703135916,0.8128453288725713,0.8130189997122056,0.006286250455559305,6
13.69698166847229,0.4611220093513841,0.9222538948059082,0.016111408409081925,500,0.75,"{'LGB__n_estimators': 500, 'SVR__proportion': 0.75}",0.8327410696191024,0.8265081128181488,0.8177808111602729,0.8212148898045359,0.8279313109174145,0.825235238863895,0.005233702454183312,3
15.478352928161621,0.10520592791557218,0.9179559707641601,0.017127829320482714,500,1,"{'LGB__n_estimators': 500, 'SVR__proportion': 1}",0.8349371237098275,0.830751368308763,0.8223200226578385,0.8248546135441199,0.8317713827316052,0.8289269021904309,0.0046427772045477345,1
