mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LGBClassifier__n_estimators,param_ada__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3559226036071776,0.01835360156851515,0.13373332023620604,0.004658086851205529,100,0.5,"{'LGBClassifier__n_estimators': 100, 'ada__sampling_strategy': 0.5}",0.567122608260992,0.5721278209740283,0.5814633509194421,0.577848368960156,0.5812792962123486,0.5759682890653934,0.005566551287101741,15
2.6886770725250244,0.02201687463017465,0.13591723442077636,0.0062512372614473965,100,0.75,"{'LGBClassifier__n_estimators': 100, 'ada__sampling_strategy': 0.75}",0.6667563699857029,0.659324529052359,0.664959953182383,0.6678637262971733,0.6650380004242981,0.6647885157883832,0.0029419773700811625,14
2.957462501525879,0.025539375606972732,0.13742327690124512,0.0041617137930048285,100,1,"{'LGBClassifier__n_estimators': 100, 'ada__sampling_strategy': 1}",0.7086680485217745,0.702260769541735,0.7008820679354305,0.6936651118905106,0.7155228320367032,0.7041997659852307,0.007401663841128297,12
3.741184425354004,0.027071328523063015,0.23995141983032225,0.009019861259120604,200,0.5,"{'LGBClassifier__n_estimators': 200, 'ada__sampling_strategy': 0.5}",0.6737806171397093,0.677205983875191,0.6841003017022077,0.6767377781639908,0.6782877937063884,0.6780224949174973,0.003385877530576055,13
4.2698875904083256,0.0341884333396021,0.2432173728942871,0.005084031898782791,200,0.75,"{'LGBClassifier__n_estimators': 200, 'ada__sampling_strategy': 0.75}",0.7550329828755099,0.745742599554421,0.7459086884818096,0.7491084912985372,0.7516892802515535,0.7494964084923661,0.0035376726422420113,10
4.766807556152344,0.043053425673173405,0.24548168182373048,0.0023033416656539456,200,1,"{'LGBClassifier__n_estimators': 200, 'ada__sampling_strategy': 1}",0.7765241266284834,0.7688893904462191,0.7668156269352565,0.7603095444803569,0.7752688003334306,0.7695614977647494,0.005910019927902763,9
5.026593828201294,0.034038812265896515,0.3407658576965332,0.009600609596667137,300,0.5,"{'LGBClassifier__n_estimators': 300, 'ada__sampling_strategy': 0.5}",0.7472048484784898,0.7280059847485157,0.7370204888761223,0.7353649352248123,0.7395552138641941,0.7374302942384269,0.006217852549869997,11
5.8333197116851805,0.03190141320541235,0.3468934059143066,0.004071146852249002,300,0.75,"{'LGBClassifier__n_estimators': 300, 'ada__sampling_strategy': 0.75}",0.7925000307936396,0.7851866140387656,0.7863892583393209,0.786860156775721,0.7935159638794146,0.7888904047653723,0.0034211373334601903,7
6.477239084243775,0.029935260872057185,0.35094637870788575,0.00819742185842415,300,1,"{'LGBClassifier__n_estimators': 300, 'ada__sampling_strategy': 1}",0.8065449967802111,0.7903790178033885,0.7954379107370207,0.7967729611096762,0.8019326615906457,0.7982135096041885,0.0055570524718750736,5
6.356681680679321,0.014817224910771188,0.4736036777496338,0.014330658300182939,400,0.5,"{'LGBClassifier__n_estimators': 400, 'ada__sampling_strategy': 0.5}",0.783593325417325,0.770306419478701,0.7718213115101444,0.7753889555374787,0.7731193497886959,0.7748458723464691,0.004680776758466463,8
7.345216369628906,0.04511187638138978,0.47823152542114256,0.006843306553834132,400,0.75,"{'LGBClassifier__n_estimators': 400, 'ada__sampling_strategy': 0.75}",0.8135176976542385,0.8107253386109967,0.8096881704251375,0.8062024625916352,0.8192653850290371,0.811879810862209,0.0043725909089883325,4
8.238155269622803,0.038853633506070205,0.47701168060302734,0.01290834087028319,400,1,"{'LGBClassifier__n_estimators': 400, 'ada__sampling_strategy': 1}",0.8213184735883828,0.809608917349208,0.8120222120841268,0.8120267715449947,0.8174934980747005,0.8144939745282826,0.004280920758685823,3
7.672641611099243,0.030336839452443455,0.5811530113220215,0.011715513118347688,500,0.5,"{'LGBClassifier__n_estimators': 500, 'ada__sampling_strategy': 0.5}",0.803396303351918,0.7959427373474821,0.7951823127248384,0.7940620263692395,0.7940534438546647,0.7965273647296286,0.0035080322003970574,6
8.88945984840393,0.0344632665548221,0.6090291500091553,0.01483910592816321,500,0.75,"{'LGBClassifier__n_estimators': 500, 'ada__sampling_strategy': 0.75}",0.8254988489512626,0.8218724424093924,0.8189068638928516,0.8183198333061107,0.8287028655675147,0.8226601708254263,0.00395268546730659,2
9.961780118942261,0.04270402570931927,0.6073850631713867,0.013054831895505853,500,1,"{'LGBClassifier__n_estimators': 500, 'ada__sampling_strategy': 1}",0.8302465165538149,0.8189113945788484,0.8214448073238889,0.8227107952745748,0.8268676155172937,0.8240362258496843,0.004032879611876946,1
