mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LGBClassifier__n_estimators,param_SMOTE__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8873257160186767,0.02843942395125927,0.12182435989379883,0.0035050372041015567,100,0.5,"{'LGBClassifier__n_estimators': 100, 'SMOTE__sampling_strategy': 0.5}",0.6041654975453725,0.6153508391082368,0.6118739491448463,0.619460690876331,0.6187917240957583,0.613928540154109,0.005582410396485701,15
2.157504987716675,0.01657780298318358,0.12449297904968262,0.004035902345849086,100,0.75,"{'LGBClassifier__n_estimators': 100, 'SMOTE__sampling_strategy': 0.75}",0.7168788847070559,0.7187964957411893,0.7116239565874956,0.7311614475590926,0.7281880085642767,0.721329758631822,0.007268122070927287,13
2.424599838256836,0.028876681732052507,0.12386679649353027,0.007383139415097842,100,1,"{'LGBClassifier__n_estimators': 100, 'SMOTE__sampling_strategy': 1}",0.7440242548514848,0.7434384752506805,0.7469735237471473,0.7393496358197683,0.747127003246068,0.7441825785830298,0.002842361814813994,12
3.194201707839966,0.050940841124114775,0.21775264739990235,0.008337552600316664,200,0.5,"{'LGBClassifier__n_estimators': 200, 'SMOTE__sampling_strategy': 0.5}",0.7045911569266156,0.6975266489051387,0.7029385188886395,0.7184027350328321,0.6974943885105879,0.7041906896527628,0.007654546722279381,14
3.705578422546387,0.03415545504665006,0.2299875259399414,0.004313614060264885,200,0.75,"{'LGBClassifier__n_estimators': 200, 'SMOTE__sampling_strategy': 0.75}",0.7840352784155976,0.7716507658346502,0.7738475895605511,0.7831203260497287,0.7765534954838539,0.7778414910688763,0.004942961890656235,10
4.182976293563843,0.04035709378184629,0.23678689002990722,0.005598656193353637,200,1,"{'LGBClassifier__n_estimators': 200, 'SMOTE__sampling_strategy': 1}",0.8084931033908987,0.7985781289331517,0.7929661465394631,0.7949525963581708,0.8016861825001991,0.7993352315443767,0.0054724679349103965,8
4.493728065490723,0.049640742554253395,0.3425924777984619,0.011162757594480516,300,0.5,"{'LGBClassifier__n_estimators': 300, 'SMOTE__sampling_strategy': 0.5}",0.7682862225918072,0.7519574080409707,0.7504640592450981,0.7603731757798221,0.7579226667160162,0.7578007064747428,0.006396077704744092,11
5.250431871414184,0.030448951296273997,0.3388808250427246,0.013166586480563066,300,0.75,"{'LGBClassifier__n_estimators': 300, 'SMOTE__sampling_strategy': 0.75}",0.8170148342481397,0.8055106695359905,0.8015575788833665,0.8080952423098657,0.8071730242984397,0.8078702698551604,0.005090728884564217,6
5.921951770782471,0.05157876317679606,0.3359198570251465,0.011797806635365045,300,1,"{'LGBClassifier__n_estimators': 300, 'SMOTE__sampling_strategy': 1}",0.8305265281672458,0.8232357977368235,0.8131400846075014,0.81627685958282,0.8203432952189225,0.8207045130626627,0.005997241938387231,5
5.807605934143067,0.04349988053013677,0.4437758445739746,0.01263243797770798,400,0.5,"{'LGBClassifier__n_estimators': 400, 'SMOTE__sampling_strategy': 0.5}",0.8019886036931309,0.783409979379178,0.7797645628509611,0.7850945726055254,0.7823478997379918,0.7865211236533575,0.007924949426865486,9
6.7331019878387455,0.0417728261115677,0.45673232078552245,0.0094662587885545,400,0.75,"{'LGBClassifier__n_estimators': 400, 'SMOTE__sampling_strategy': 0.75}",0.8324201041415928,0.8271675512519986,0.8158154153226316,0.8200025425699428,0.8218338366173521,0.8234478899807037,0.005780428416107714,4
7.629307651519776,0.08305082286167398,0.4475539684295654,0.008878662524122815,400,1,"{'LGBClassifier__n_estimators': 400, 'SMOTE__sampling_strategy': 1}",0.8415322010449331,0.8318400249967602,0.8231133688488514,0.8263375111405062,0.8327264556816381,0.8311099123425378,0.006300649168628444,2
7.150887155532837,0.06710378306550417,0.5480636119842529,0.01667829686533412,500,0.5,"{'LGBClassifier__n_estimators': 500, 'SMOTE__sampling_strategy': 0.5}",0.8164399004168345,0.8044801873052096,0.7965181006573401,0.8031718962341803,0.8050066098772406,0.8051233388981611,0.006424174466713254,7
8.276970291137696,0.05413666361167798,0.5534872055053711,0.014147336324507487,500,0.75,"{'LGBClassifier__n_estimators': 500, 'SMOTE__sampling_strategy': 0.75}",0.8363883405749866,0.8321410537815219,0.8247346594927573,0.8252539016245359,0.8340288522683719,0.8305093615484347,0.004702736899071199,3
9.421892786026001,0.080533130937734,0.5420352935791015,0.009333441329999744,500,1,"{'LGBClassifier__n_estimators': 500, 'SMOTE__sampling_strategy': 1}",0.844893219692123,0.8385483998257494,0.830310544879712,0.8316958163728094,0.8394399936060265,0.836977594875284,0.005357885622802825,1
