mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RandomForestClassifier__n_estimators,param_SMOTE__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23.29458498954773,0.24412066685624287,1.0552698135375977,0.07127619230098914,100,0.5,"{'RandomForestClassifier__n_estimators': 100, 'SMOTE__sampling_strategy': 0.5}",0.8441837364709458,0.8388914107921375,0.8350358896621198,0.8335536625746846,0.8449472859272776,0.8393223970854331,0.004628394711665674,11
27.89270133972168,0.300374797718277,1.0375670433044433,0.010340324846761383,100,0.75,"{'RandomForestClassifier__n_estimators': 100, 'SMOTE__sampling_strategy': 0.75}",0.8521084358469679,0.8474755150699155,0.8418648892278981,0.8425521609028376,0.852545359260037,0.8473092720615313,0.004533158500272555,7
32.595031309127805,0.26013715388950864,1.0744424343109131,0.013817915702092757,100,1,"{'RandomForestClassifier__n_estimators': 100, 'SMOTE__sampling_strategy': 1}",0.856469795098265,0.8506678449298033,0.8456928248300729,0.846581584444836,0.8564433630476082,0.8511710824701171,0.004630363806877956,3
45.85868029594421,0.3243536067689774,1.9833744049072266,0.008339739067344254,200,0.5,"{'RandomForestClassifier__n_estimators': 200, 'SMOTE__sampling_strategy': 0.5}",0.8442924959547813,0.8379324450661775,0.8333856330315238,0.8338822790116484,0.8439196639087292,0.8386825033945721,0.0047023705520088015,13
53.16838812828064,0.048349656379655166,2.012800359725952,0.015187869470534753,200,0.75,"{'RandomForestClassifier__n_estimators': 200, 'SMOTE__sampling_strategy': 0.75}",0.8502800015538028,0.8471436367587188,0.8407790670323891,0.8430476670177451,0.8538391062813011,0.8470178957287914,0.004730153446621339,9
62.792336559295656,1.4943644448399043,2.0917334079742433,0.026496412069142238,200,1,"{'RandomForestClassifier__n_estimators': 200, 'SMOTE__sampling_strategy': 1}",0.8547566478698914,0.8517128838151469,0.8458684311243818,0.8464544559476961,0.8569916382169719,0.8511568113948176,0.004413442100317196,4
69.18265943527221,1.1839705238334846,3.0002629280090334,0.03093618429268931,300,0.5,"{'RandomForestClassifier__n_estimators': 300, 'SMOTE__sampling_strategy': 0.5}",0.8421321833504197,0.838504528669497,0.8333856330315238,0.8346772344241441,0.8443828514921907,0.8386164861935551,0.00420721188077874,14
82.84660782814026,0.4609459067610575,3.1045252323150634,0.020156389478731454,300,0.75,"{'RandomForestClassifier__n_estimators': 300, 'SMOTE__sampling_strategy': 0.75}",0.85093723059524,0.8469497318367656,0.8405280955319697,0.8417410462246188,0.8520013753479606,0.8464314959073109,0.004657128401867452,10
95.72873258590698,1.6459737472034721,3.1581088066101075,0.028121654876815522,300,1,"{'RandomForestClassifier__n_estimators': 300, 'SMOTE__sampling_strategy': 1}",0.8564104395661839,0.8514617992214311,0.8462626903876642,0.8477298980745933,0.8557841186468271,0.8515297891793401,0.0041013703110085245,1
92.60634260177612,1.520583824732484,4.012967777252197,0.017073136553510587,400,0.5,"{'RandomForestClassifier__n_estimators': 400, 'SMOTE__sampling_strategy': 0.5}",0.8431762945144974,0.8377459954464459,0.832431230590442,0.8346287566269752,0.8439013590143626,0.8383767272385446,0.0045464588194797425,15
108.2957760334015,2.0143886549174916,4.147303056716919,0.04355746704611348,400,0.75,"{'RandomForestClassifier__n_estimators': 400, 'SMOTE__sampling_strategy': 0.75}",0.8512044739324519,0.8477436861283935,0.8418304250678085,0.8428882199891592,0.8540437456131952,0.8475421101462016,0.004690561696719446,6
132.82328734397888,6.27825122268821,4.257973718643188,0.026729631651199407,400,1,"{'RandomForestClassifier__n_estimators': 400, 'SMOTE__sampling_strategy': 1}",0.8554719843043571,0.8503617565246433,0.8460300237816114,0.847335638811311,0.8567568259822755,0.8511912458808398,0.004277671687735796,2
119.09852504730225,2.8636248521437158,5.020998430252075,0.050602316801739586,500,0.5,"{'RandomForestClassifier__n_estimators': 500, 'SMOTE__sampling_strategy': 0.5}",0.8438108372314828,0.8380573632935092,0.8331572576827586,0.8355002171107984,0.844016619503067,0.8389084589643232,0.0043713478314580285,12
141.75747842788695,0.7570590478631805,5.248897409439087,0.07302282340653686,500,0.75,"{'RandomForestClassifier__n_estimators': 500, 'SMOTE__sampling_strategy': 0.75}",0.8509350547349214,0.8478978182611329,0.8416505275162122,0.8426189435943732,0.852704806288623,0.8471614300790525,0.004393535271726762,8
151.45353145599364,4.740631240850425,5.151820325851441,0.04811794728365754,500,1,"{'RandomForestClassifier__n_estimators': 500, 'SMOTE__sampling_strategy': 1}",0.8538073133064715,0.8508229047838084,0.8457241375980922,0.8462842807758915,0.856475681579054,0.8506228636086636,0.004177488050674012,5
